49. Danh mục ngành/ chuyên ngành/ chuyên môn được đào tạo
Mã|Tên
049.7310205-02|Quản lý tài chính công
049.7310201-01|Chính sách công
049.7310205-01|Quản lý nhà nước về kinh tế
049.7380101-01|Thanh tra
049.HTC1207|Kế toán - Kiểm soát - Kiểm toán
049.HTC737|Tài chính doanh nghiệp và và kiểm soát quản trị
049.HTC753|Bảo hiểm - Ngân hàng - Tài chính
049.00073102|Khoa học chính trị
049.00073403|Kế toán - Kiểm toán
049.00075802|Xây dựng
049.00077201|Y học
049.05210201|Nghệ thuật biểu diễn ca kịch Huế
049.05210202|Nghệ thuật biểu diễn dân ca
049.05210203|Nghệ thuật biểu diễn chèo
049.05210204|Nghệ thuật biểu diễn tuồng
049.05210205|Nghệ thuật biểu diễn cải lương
049.05210206|Nghệ thuật biểu diễn kịch múa
049.05210207|Nghệ thuật biểu diễn múa dân gian dân tộc
049.05210208|Nghệ thuật biểu diễn xiếc
049.05210209|Nghệ thuật biểu diễn dân ca quan họ
049.05210210|Nghệ thuật biểu diễn kịch nói
049.05210218|Đờn ca nhạc tài tử Nam Bộ
049.05210219|Nhạc công kịch hát dân tộc
049.05210220|Nhạc công truyền thống Huế
049.05210223|Violon
049.05210224|Organ
049.05210226|Lý thuyết âm nhạc
049.05210228|Chỉ huy hợp xướng
049.05210229|Biên tập và dàn dựng ca, múa, nhạc
049.05210236|Văn hóa, văn nghệ quần chúng
049.05210237|Tổ chức sự kiện
049.05210412|Sơn mài
049.05210415|Thêu ren mỹ thuật
049.05210416|Sản xuất hàng mây tre đan
049.05210417|Sản xuất tranh
049.05210421|Thiết kế đồ gỗ
049.05210422|Mộc mỹ nghệ
049.05220106|Ngôn ngữ Jrai
049.05220107|Ngôn ngữ Khmer
049.05220207|Tiếng Nga
049.05220210|Tiếng Đức
049.05320103|Phóng viên, biên tập
049.05320104|Công nghệ phát thanh - truyền hình
049.05320203|Thư viện - Thiết bị trường học
049.05320204|Thông tin đối ngoại
049.05320302|Văn thư - Lưu trữ
049.05320303|Lưu trữ và quản lý thông tin
049.05320310|Bảo tồn và khai thác di tích, di sản lịch sử - văn hóa
049.05320403|Quản lý xuất bản phẩm
049.05340101|Kinh doanh thương mại và dịch vụ
049.05340102|Kinh doanh xuất nhập khẩu
049.05340103|Kinh doanh ngân hàng
049.05340104|Kinh doanh bưu chính viễn thông
049.05340105|Kinh doanh xăng dầu và khí đốt
049.05340107|Kinh doanh vật liệu xây dựng
049.05340108|Kinh doanh bất động sản
049.05340109|Kinh doanh vận tải đường thủy
049.05340110|Kinh doanh vận tải đường bộ
049.05340111|Kinh doanh vận tải đường sắt
049.05340112|Kinh doanh vận tải hàng không
049.05340128|Quản lý doanh nghiệp
049.05340129|Quản lý và kinh doanh du lịch
049.05340130|Quản lý và kinh doanh khách sạn
049.05340131|Quản lý và kinh doanh nhà hàng và dịch vụ ăn uống
049.05340132|Quản lý và bán hàng siêu thị
049.05340133|Quản lý kho hàng
049.05340138|Nghiệp vụ bán hàng
049.05340139|Bán hàng trong siêu thị
049.05340142|Kế hoạch đầu tư
049.05340306|Kế toán tin học
049.05340307|Kế toán hành chính sự nghiệp
049.05340308|Kế toán hợp tác xã
049.05340309|Kế toán xây dựng
049.05340407|Quản lý công trình đô thị
049.05340415|Quản lý lao động tiền lương và bảo trợ xã hội
049.05340416|Quản lý thiết bị trường học
049.05440206|Khí tượng
049.05480211|Quản trị hệ thống
049.05480212|Lập trình/Phân tích hệ thống
