153. Danh mục xã, phường cũ
Mã|Tên|Huyện|Tỉnh
153.00000001|Phường Phúc Xá|Quận Ba Đình|Thành phố Hà Nội
153.00000004|Phường Trúc Bạch|Quận Ba Đình|Thành phố Hà Nội
153.00000006|Phường Vĩnh Phúc|Quận Ba Đình|Thành phố Hà Nội
153.00000007|Phường Cống Vị|Quận Ba Đình|Thành phố Hà Nội
153.00000008|Phường Liễu Giai|Quận Ba Đình|Thành phố Hà Nội
153.00000010|Phường Nguyễn Trung Trực|Quận Ba Đình|Thành phố Hà Nội
153.00000013|Phường Quán Thánh|Quận Ba Đình|Thành phố Hà Nội
153.00000016|Phường Ngọc Hà|Quận Ba Đình|Thành phố Hà Nội
153.00000019|Phường Điện Biên|Quận Ba Đình|Thành phố Hà Nội
153.00000022|Phường Đội Cấn|Quận Ba Đình|Thành phố Hà Nội
153.00000025|Phường Ngọc Khánh|Quận Ba Đình|Thành phố Hà Nội
153.00000028|Phường Kim Mã|Quận Ba Đình|Thành phố Hà Nội
153.00000031|Phường Giảng Võ|Quận Ba Đình|Thành phố Hà Nội
153.00000034|Phường Thành Công|Quận Ba Đình|Thành phố Hà Nội
153.00000037|Phường Phúc Tân|Quận Hoàn Kiếm|Thành phố Hà Nội
153.00000040|Phường Đồng Xuân|Quận Hoàn Kiếm|Thành phố Hà Nội
153.00000043|Phường Hàng Mã|Quận Hoàn Kiếm|Thành phố Hà Nội
153.00000046|Phường Hàng Buồm|Quận Hoàn Kiếm|Thành phố Hà Nội
153.00000049|Phường Hàng Đào|Quận Hoàn Kiếm|Thành phố Hà Nội
153.00000052|Phường Hàng Bồ|Quận Hoàn Kiếm|Thành phố Hà Nội
153.00000055|Phường Cửa Đông|Quận Hoàn Kiếm|Thành phố Hà Nội
153.00000058|Phường Lý Thái Tổ|Quận Hoàn Kiếm|Thành phố Hà Nội
153.00000061|Phường Hàng Bạc|Quận Hoàn Kiếm|Thành phố Hà Nội
153.00000064|Phường Hàng Gai|Quận Hoàn Kiếm|Thành phố Hà Nội
153.00000067|Phường Chương Dương|Quận Hoàn Kiếm|Thành phố Hà Nội
153.00000070|Phường Hàng Trống|Quận Hoàn Kiếm|Thành phố Hà Nội
153.00000073|Phường Cửa Nam|Quận Hoàn Kiếm|Thành phố Hà Nội
153.00000076|Phường Hàng Bông|Quận Hoàn Kiếm|Thành phố Hà Nội
153.00000079|Phường Tràng Tiền|Quận Hoàn Kiếm|Thành phố Hà Nội
153.00000082|Phường Trần Hưng Đạo|Quận Hoàn Kiếm|Thành phố Hà Nội
153.00000085|Phường Phan Chu Trinh|Quận Hoàn Kiếm|Thành phố Hà Nội
153.00000088|Phường Hàng Bài|Quận Hoàn Kiếm|Thành phố Hà Nội
153.00000091|Phường Phú Thượng|Quận Tây Hồ|Thành phố Hà Nội
153.00000094|Phường Nhật Tân|Quận Tây Hồ|Thành phố Hà Nội
153.00000097|Phường Tứ Liên|Quận Tây Hồ|Thành phố Hà Nội
153.00000100|Phường Quảng An|Quận Tây Hồ|Thành phố Hà Nội
153.00000103|Phường Xuân La|Quận Tây Hồ|Thành phố Hà Nội
153.00000106|Phường Yên Phụ|Quận Tây Hồ|Thành phố Hà Nội
153.00000109|Phường Bưởi|Quận Tây Hồ|Thành phố Hà Nội
153.00000112|Phường Thụy Khuê|Quận Tây Hồ|Thành phố Hà Nội
153.00000115|Phường Thượng Thanh|Quận Long Biên|Thành phố Hà Nội
153.00000118|Phường Ngọc Thụy|Quận Long Biên|Thành phố Hà Nội
153.00000121|Phường Giang Biên|Quận Long Biên|Thành phố Hà Nội
153.00000124|Phường Đức Giang|Quận Long Biên|Thành phố Hà Nội
153.00000127|Phường Việt Hưng|Quận Long Biên|Thành phố Hà Nội
153.00000130|Phường Gia Thụy|Quận Long Biên|Thành phố Hà Nội
153.00000133|Phường Ngọc Lâm|Quận Long Biên|Thành phố Hà Nội
153.00000136|Phường Phúc Lợi|Quận Long Biên|Thành phố Hà Nội
153.00000139|Phường Bồ Đề|Quận Long Biên|Thành phố Hà Nội
153.00000142|Phường Sài Đồng|Quận Long Biên|Thành phố Hà Nội
153.00000145|Phường Long Biên|Quận Long Biên|Thành phố Hà Nội
153.00000148|Phường Thạch Bàn|Quận Long Biên|Thành phố Hà Nội
153.00000151|Phường Phúc Đồng|Quận Long Biên|Thành phố Hà Nội
153.00000154|Phường Cự Khối|Quận Long Biên|Thành phố Hà Nội
153.00000157|Phường Nghĩa Đô|Quận Cầu Giấy|Thành phố Hà Nội
153.00000160|Phường Nghĩa Tân|Quận Cầu Giấy|Thành phố Hà Nội
153.00000163|Phường Mai Dịch|Quận Cầu Giấy|Thành phố Hà Nội
153.00000166|Phường Dịch Vọng|Quận Cầu Giấy|Thành phố Hà Nội
153.00000167|Phường Dịch Vọng Hậu|Quận Cầu Giấy|Thành phố Hà Nội
153.00000169|Phường Quan Hoa|Quận Cầu Giấy|Thành phố Hà Nội
153.00000172|Phường Yên Hòa|Quận Cầu Giấy|Thành phố Hà Nội
153.00000175|Phường Trung Hòa|Quận Cầu Giấy|Thành phố Hà Nội
153.00000178|Phường Cát Linh|Quận Đống Đa|Thành phố Hà Nội
153.00000181|Phường Văn Miếu|Quận Đống Đa|Thành phố Hà Nội
153.00000184|Phường Quốc Tử Giám|Quận Đống Đa|Thành phố Hà Nội
153.00000187|Phường Láng Thượng|Quận Đống Đa|Thành phố Hà Nội
153.00000190|Phường Ô Chợ Dừa|Quận Đống Đa|Thành phố Hà Nội
153.00000193|Phường Văn Chương|Quận Đống Đa|Thành phố Hà Nội
153.00000196|Phường Hàng Bột|Quận Đống Đa|Thành phố Hà Nội
153.00000199|Phường Láng Hạ|Quận Đống Đa|Thành phố Hà Nội
153.00000202|Phường Khâm Thiên|Quận Đống Đa|Thành phố Hà Nội
153.00000205|Phường Thổ Quan|Quận Đống Đa|Thành phố Hà Nội
153.00000208|Phường Nam Đồng|Quận Đống Đa|Thành phố Hà Nội
153.00000211|Phường Trung Phụng|Quận Đống Đa|Thành phố Hà Nội
153.00000214|Phường Quang Trung|Quận Đống Đa|Thành phố Hà Nội
153.00000217|Phường Trung Liệt|Quận Đống Đa|Thành phố Hà Nội
153.00000220|Phường Phương Liên|Quận Đống Đa|Thành phố Hà Nội
153.00000223|Phường Thịnh Quang|Quận Đống Đa|Thành phố Hà Nội
153.00000226|Phường Trung Tự|Quận Đống Đa|Thành phố Hà Nội
153.00000229|Phường Kim Liên|Quận Đống Đa|Thành phố Hà Nội
153.00000232|Phường Phương Mai|Quận Đống Đa|Thành phố Hà Nội
153.00000235|Phường Ngã Tư Sở|Quận Đống Đa|Thành phố Hà Nội
153.00000238|Phường Khương Thượng|Quận Đống Đa|Thành phố Hà Nội
153.00000241|Phường Nguyễn Du|Quận Hai Bà Trưng|Thành phố Hà Nội
153.00000244|Phường Bạch Đằng|Quận Hai Bà Trưng|Thành phố Hà Nội
153.00000247|Phường Phạm Đình Hổ|Quận Hai Bà Trưng|Thành phố Hà Nội
