76. Danh mục xã/phường
Danh mục xã/phường theo Quyết định số 19/2025/QĐ-TTg ban hành Bảng danh mục và mã số các đơn vị hành chính Việt Nam (Danh mục xã, phường).
Mã|Tên đơn vị hành chính|Tỉnh (thành phố)
076.00000070|Phường Hoàn Kiếm|Thành phố Hà Nội
076.00000073|Phường Cửa Nam|Thành phố Hà Nội
076.00000004|Phường Ba Đình|Thành phố Hà Nội
076.00000008|Phường Ngọc Hà|Thành phố Hà Nội
076.00000025|Phường Giảng Võ|Thành phố Hà Nội
076.00000256|Phường Hai Bà Trưng|Thành phố Hà Nội
076.00000283|Phường Vĩnh Tuy|Thành phố Hà Nội
076.00000277|Phường Bạch Mai|Thành phố Hà Nội
076.00000235|Phường Đống Đa|Thành phố Hà Nội
076.00000226|Phường Kim Liên|Thành phố Hà Nội
076.00000196|Phường Văn Miếu - Quốc Tử Giám|Thành phố Hà Nội
076.00000187|Phường Láng|Thành phố Hà Nội
076.00000190|Phường Ô Chợ Dừa|Thành phố Hà Nội
076.00000097|Phường Hồng Hà|Thành phố Hà Nội
076.00000328|Phường Lĩnh Nam|Thành phố Hà Nội
076.00000319|Phường Hoàng Mai|Thành phố Hà Nội
076.00000304|Phường Vĩnh Hưng|Thành phố Hà Nội
076.00000313|Phường Tương Mai|Thành phố Hà Nội
076.00000316|Phường Định Công|Thành phố Hà Nội
076.00000337|Phường Hoàng Liệt|Thành phố Hà Nội
076.00000331|Phường Yên Sở|Thành phố Hà Nội
076.00000367|Phường Thanh Xuân|Thành phố Hà Nội
076.00000364|Phường Khương Đình|Thành phố Hà Nội
076.00000352|Phường Phương Liệt|Thành phố Hà Nội
076.00000167|Phường Cầu Giấy|Thành phố Hà Nội
076.00000160|Phường Nghĩa Đô|Thành phố Hà Nội
076.00000175|Phường Yên Hòa|Thành phố Hà Nội
076.00000103|Phường Tây Hồ|Thành phố Hà Nội
076.00000091|Phường Phú Thượng|Thành phố Hà Nội
076.00000613|Phường Tây Tựu|Thành phố Hà Nội
076.00000619|Phường Phú Diễn|Thành phố Hà Nội
076.00000611|Phường Xuân Đỉnh|Thành phố Hà Nội
076.00000602|Phường Đông Ngạc|Thành phố Hà Nội
076.00000598|Phường Thượng Cát|Thành phố Hà Nội
076.00000592|Phường Từ Liêm|Thành phố Hà Nội
076.00000622|Phường Xuân Phương|Thành phố Hà Nội
076.00000634|Phường Tây Mỗ|Thành phố Hà Nội
076.00000637|Phường Đại Mỗ|Thành phố Hà Nội
076.00000148|Phường Long Biên|Thành phố Hà Nội
076.00000130|Phường Bồ Đề|Thành phố Hà Nội
076.00000127|Phường Việt Hưng|Thành phố Hà Nội
076.00000136|Phường Phúc Lợi|Thành phố Hà Nội
076.00009556|Phường Hà Đông|Thành phố Hà Nội
076.00009886|Phường Dương Nội|Thành phố Hà Nội
076.00009562|Phường Yên Nghĩa|Thành phố Hà Nội
076.00009568|Phường Phú Lương|Thành phố Hà Nội
076.00009552|Phường Kiến Hưng|Thành phố Hà Nội
076.00000640|Xã Thanh Trì|Thành phố Hà Nội
076.00000664|Xã Đại Thanh|Thành phố Hà Nội
076.00000685|Xã Nam Phù|Thành phố Hà Nội
076.00000679|Xã Ngọc Hồi|Thành phố Hà Nội
076.00000646|Phường Thanh Liệt|Thành phố Hà Nội
076.00010231|Xã Thượng Phúc|Thành phố Hà Nội
076.00010183|Xã Thường Tín|Thành phố Hà Nội
