88. Danh mục tiếng dân tộc
Mã|Tên
088.00000200|Kinh
088.00000212|Ba-na
088.00000248|Bố Y
088.00000251|Brâu
088.00000222|Bru-Vân Kiều
088.00000229|Co
088.00000247|Cống
088.00000246|Cơ Lao
088.00000215|Cơ-ho
088.00000225|Cơ-tu
088.00000216|Chăm
088.00000231|Chơ-ro
088.00000235|Chu-ru
088.00000243|Chứt
088.00000208|Dao
088.00000211|Ê-đê
088.00000209|Gia-rai
088.00000224|Giáy
088.00000226|Gié-Triêng
088.00000234|Hà Nhì
088.00000207|Hmông
088.00000203|Hoa
088.00000218|Hrê
088.00000232|Kháng
088.00000204|Khơ-me
088.00000228|Khơ-mú
088.00000237|La Chi
088.00000238|La Ha
088.00000240|La Hủ
088.00000236|Lào
088.00000242|Lô Lô
088.00000241|Lự
088.00000227|Mạ
088.00000244|Mảng
088.00000219|Mnông
088.00000205|Mường
088.00000206|Nùng
088.00000210|Ngái
088.00000252|Ơ Đu
088.00000245|Pà Thẻn
088.00000250|Pu Péo
088.00000239|Phù Lá
088.00000220|Ra-glai
088.00000253|Rơ-măm
088.00000214|Sán Chay
088.00000217|Sán Dìu
088.00000249|Si La
088.00000230|Ta-ôi
088.00000201|Tày
088.00000202|Thái
088.00000223|Thổ
088.00000233|Xinh-mun
088.00000213|Xơ-đăng
088.00000221|Xtiêng
088.00000254|Người nước ngoài
088.00000255|Khác
